Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,Dryocopus lineatus,Lineated Woodpecker,Carpintero Lineado,R,Lineated Woodpecker
,,Campephilus guatemalensis,Pale-billed Woodpecker,"Carpintero Picoplata (Dos Golpes, Carpintero Chiricano)",R,Pale-billed Woodpecker
Falconiformes,,,,,,
,Falconidae,,,,,
,,Herpetotheres cachinnans,Laughing Falcon,Guaco,R,Laughing Falcon
,,Micrastur ruficollis,Barred Forest-Falcon,Halcón de Monte Barreteado,R,Barred Forest-Falcon
,,Micrastur semitorquatus,Collared Forest-Falcon,Halcón de Monte Collarejo,R,Collared Forest-Falcon
,,Caracara plancus,Crested Caracara,"Caracara Cargahuesos (Cargahuesos, Querque, Quebrantahuesos)",R,Crested Caracara
,,Milvago chimachima,Yellow-headed Caracara,Caracara Cabecigualdo,R,Yellow-headed Caracara
,,Falco sparverius,American Kestrel,"Cernícalo Americano (Klis-Klis, Camaleón)",M,American Kestrel
,,Falco rufigularis,Bat Falcon,Halcón Cuelliblanco,R,Bat Falcon
,,Falco peregrinus,Peregrine Falcon,Halcón Peregrino,M,Peregrine Falcon
Psittaciformes,,,,,,
,Psittacidae,,,,,
,,Eupsittula nana,Olive-throated Parakeet,Perico Azteco,R,Olive-throated Parakeet
,,Eupsittula canicularis,Orange-fronted Parakeet,"Perico Frentinaranja (Catano, Periquito, Zapoyol)",R,Orange-fronted Parakeet
,,Psittacara finschi,Crimson-fronted Parakeet,"Perico Frentirrojo (Cotorra, Chucuyo, Perico Colilarga o de Palmera)",R-END,Crimson-fronted Parakeet
,,Brotogeris jugularis,Orange-chinned Parakeet,"Periquito Barbinaranja (Perico, Zapoyolito, Chimbolito, Catano)",R,Orange-chinned Parakeet
,,Pyrilia haematotis,Brown-hooded Parrot,Loro Cabecipardo (Lora),R,Brown-hooded Parrot
,,Pionus senilis,White-crowned Parrot,"Loro Coroniblanco (Cotorra, Chucuyo)",R,White-crowned Parrot
,,Amazona albifrons,White-fronted Parrot,"Loro Frentiblanco (Cancan, Lora)",R,White-fronted Parrot
,,Amazona autumnalis,Red-lored Parrot,Loro Frentirrojo (Lora Jupa Roja),R,Red-lored Parrot
,,Amazona farinosa,Mealy Parrot,"Loro Verde (Lora Cabeza Negra, Lora Jupa Gris)",R,Mealy Parrot
,,Amazona auropalliata,Yellow-naped Parrot,Lora de Nuca Amarilla (Lora Jupa Amarilla),R,Yellow-naped Parrot
Passeriformes,,,,,,
,Pipridae,,,,,
,,Chiroxiphia linearis,Long-tailed Manakin,Saltarín Toledo (Toledo),R,Long-tailed Manakin
,,Corapipo altera,White-ruffed Manakin,Saltarín Gorgiblanco,R,White-ruffed Manakin
,,Manacus candei,White-collared Manakin,"Saltarín Cuelliblanco (Quiebrapalos, Quiebraramas, Bailarín)",R,White-collared Manakin
,,Ceratopipra mentalis,Red-capped Manakin,Saltarín Cabecirrojo,R,Red-capped Manakin
,Cotingidae,,,,,
,,Cephalopterus glabricollis,Bare-necked Umbrellabird,Pájaro-sombrilla Cuellinudo (Pájaro Danta),R-END,Bare-necked Umbrellabird
,,Lipaugus unirufus,Rufous Piha,Piha Rojiza,R,Rufous Piha
,,Procnias tricarunculatus,Three-wattled Bellbird,"Campanero Tricarunculado (Pájaro Campana, Rin-Ran, Calandria)",R-END,Three-wattled Bellbird
,,Carpodectes nitidus,Snowy Cotinga,Cotinga Blanca,R-END,Snowy Cotinga
,Tityridae,,,,,
,,Schiffornis veraepacis,Northern Schiffornis,Tordo-saltarín,R,Northern Schiffornis
,,Tityra semifasciata,Masked Tityra,"Tityra Carirroja (Pájaro Chancho, Calandria)",R,Masked Tityra
,,Tityra inquisitor,Black-crowned Tityra,Tityra Coroninegra (Pájaro Chancho),R,Black-crowned Tityra
,,Pachyramphus cinnamomeus,Cinnamon Becard,Cabezón Canelo,R,Cinnamon Becard
,,Pachyramphus polychopterus,White-winged Becard,Cabezón Aliblanco,R,White-winged Becard
,Onychorhynchidae,,,,,
,,Onychorhynchus coronatus,Royal Flycatcher,Mosquero Real,R,Royal Flycatcher
,,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,Mosquerito Colirrufo,R,Ruddy-tailed Flycatcher
,,Myiobius sulphureipygius,Sulphur-rumped Flycatcher,Mosquerito Lomiamarillo,R,Sulphur-rumped Flycatcher
,Tyrannidae,,,,,
,,Platyrinchus cancrominus,Stub-tailed Spadebill,Piquichato Norteño,R,Stub-tailed Spadebill
,,Platyrinchus mystaceus,White-throated Spadebill,Piquichato Gargantiblanco,R,White-throated Spadebill
,,Platyrinchus coronatus,Golden-crowned Spadebill,Piquichato Coronirrufo,R,Golden-crowned Spadebill
,,Mionectes olivaceus,Olive-striped Flycatcher,Mosquerito Ojimanchado (Tontillo),R,Olive-striped Flycatcher
,,Mionectes oleagineus,Ochre-bellied Flycatcher,Mosquerito Aceitunado (Tontillo),R,Ochre-bellied Flycatcher
,,Leptopogon amaurocephalus,Sepia-capped Flycatcher,Mosquerito Cabecipardo,R,Sepia-capped Flycatcher
