Orden,Familia,Taxa,Ingles,Español,Estatus,
,,Sporophila morelleti,Morelet's Seedeater,Espiguero Collarejo (Setillero Collarejo),R,
,,Sporophila nigricollis,Yellow-bellied Seedeater,Espiguero Vientriamarillo (Setillero Panameño),R,
,,Sporophila schistacea,Slate-colored Seedeater,Espiguero Pizarroso (Setillero),R,
,,Coereba flaveola,Bananaquit,"Reinita Mielera (Pincha Flor, Santa Marta)",R,
,,Tiaris olivaceus,Yellow-faced Grassquit,Semillerito Cariamarillo (Gallito),R,
,,Pinaroloxias inornata,Cocos Finch,Pinzón de la Isla del Coco,R-END,
,,Saltator maximus,Buff-throated Saltator,"Saltator Gorgianteado (Chayotero, Chojui, Comepuntas, Sinsonte Verde)",R,
,,Saltator atriceps,Black-headed Saltator,Saltator Cabecinegro (Chayotero),R,
,,Saltator grandis,Cinnamon-bellied Saltator,"Saltator Grisáceo (Comepuntas, Come Chayote, Sensontle, Sinsonte)",R,
,,Saltator striatipectus,Streaked Saltator,Saltator Listado,R,
,,Saltator grossus,Slate-colored Grosbeak,Picogrueso Piquirrojo,R,
