"Orden","Familia","Taxa","Ingles","Español","...7","Species","# or cw"
"","","Arenaria interpres","Ruddy Turnstone","Vuelvepiedras Rojizo","","Ruddy Turnstone",NA
"","","Calidris canutus","Red Knot","Correlimos Grande","","Red Knot",NA
"","","Calidris virgata","Surfbird","Chorlito de Rompientes","",NA,NA
"","","Calidris pugnax","Ruff","Combatiente","",NA,NA
"","","Calidris ferruginea","Curlew Sandpiper","Correlimos Zarapitín","",NA,NA
"","","Calidris himantopus","Stilt Sandpiper","Correlimos Patilargo (Patudo, Becacina)","",NA,NA
"","","Calidris subruficollis","Buff-breasted Sandpiper","Praderito Pechianteado (Zarceta)","",NA,NA
"","","Calidris alba","Sanderling","Playero Arenero","","Sanderling",NA
"","","Calidris alpina","Dunlin","Correlimos Pechinegro","",NA,NA
"","","Calidris bairdii","Baird's Sandpiper","Correlimos de Baird (Patudo, Becacina)","",NA,NA
"","","Calidris fuscicollis","White-rumped Sandpiper","Correlimos Lomiblanco (Patudo, Becacina)","",NA,NA
"","","Calidris minutilla","Least Sandpiper","Correlimos Menudo (Patudo, Becacina)","","Least Sandpiper",NA
"","","Calidris melanotos","Pectoral Sandpiper","Correlimos Pechirrayado (Patudo, Becacina)","",NA,NA
"","","Calidris mauri","Western Sandpiper","Correlimos Occidental (Patudo, Becacina)","","Western Sandpiper",NA
"","","Calidris pusilla","Semipalmated Sandpiper","Correlimos Semipalmado","","Semipalmated Sandpiper",NA
"","Stercorariidae","","","","",NA,NA
"","","Stercorarius longicaudus","Long-tailed Jaeger","Págalo Colilargo","",NA,NA
"","","Stercorarius parasiticus","Parasitic Jaeger","Págalo Parásito","",NA,NA
"","","Stercorarius pomarinus","Pomarine Jaeger","Págalo Pomarino","",NA,NA
"","","Stercorarius maccormicki","South Polar Skua","Salteador Polar","",NA,NA
"","Laridae","","","","",NA,NA
"","","Creagrus furcatus","Swallow-tailed Gull","Gaviota Tijereta","",NA,NA
"","","Rissa tridactyla","Black-legged Kittiwake","Gaviota Patinegra","",NA,NA
"","","Xema sabini","Sabine's Gull","Gaviota de Sabine","","Sabine's Gull",NA
"","","Chroicocephalus philadelphia","Bonaparte’s Gull","Gaviota de Bonaparte","",NA,NA
"","","Chroicocephalus cirrocephalus","Gray-hooded Gull","Gaviota Cabecigris","",NA,NA
"","","Leucophaeus modestus","Gray Gull","Gaviota Torero","",NA,NA
"","","Leucophaeus atricilla","Laughing Gull","Gaviota Reidora","","Laughing Gull",NA
"","","Leucophaeus pipixcan","Franklin's Gull","Gaviota de Franklin","",NA,NA
"","","Larus heermanni","Heermann's Gull","Gaviota de Heermann","",NA,NA
"","","Larus delawarensis","Ring-billed Gull","Gaviota Piquianillada","",NA,NA
"","","Larus occidentalis","Western Gull","Gaviota Occidental","",NA,NA
"","","Larus dominicanus","Kelp Gull","Gaviota Cocinera","",NA,NA
"","","Larus argentatus","Herring Gull","Gaviota Argéntea","",NA,NA
"","","Larus marinus","Great Black-backed Gull","Gavión Atlántico","",NA,NA
"","","Larus fuscus","Lesser Black-backed Gull","Gaviota Sombría","",NA,NA
"","","Larus californicus","California Gull","Gaviota Californiana","",NA,NA
"","","Rynchops niger","Black Skimmer","Rayador Negro","",NA,NA
"","","Gygis alba","White Tern","Charrán Blanco (Palomita del Espíritu Santo)","",NA,NA
"","","Anous stolidus","Brown Noddy","Tiñosa Común (Charrán Negro)","",NA,NA
"","","Anous minutus","Black Noddy","Tiñosa Negra (Charrán Negro Pequeño)","",NA,NA
"","","Onychoprion fuscatus","Sooty Tern","Charrán Sombrío","",NA,NA
"","","Onychoprion anaethetus","Bridled Tern","Charrán Embridado","",NA,NA
"","","Sternula  antillarum","Least Tern","Charrán Chico","",NA,NA
"","","Sternula superciliaris","Yellow-billed Tern","Charrán Piquiamarillo","",NA,NA
"","","Phaetusa simplex","Large-billed Tern","Charrán Picudo (Charrán de Río)","",NA,NA
"","","Gelochelidon nilotica","Gull-billed Tern","Charrán Piquinegro","",NA,NA
"","","Hydroprogne caspia","Caspian Tern","Pagaza Mayor","",NA,NA
"","","Larosterna inca","Inca Tern","Charrán Inca","",NA,NA
"","","Chlidonias niger","Black Tern","Charrancito Negro","","Black Tern",NA
"","","Sterna forsteri","Forster's Tern","Charrán de Forster","",NA,NA
"","","Sterna paradisaea","Arctic Tern","Charrán Viajero","",NA,NA
"","","Sterna hirundo","Common Tern","Charrán Común","","Common Tern",NA
"","","Sterna dougallii","Roseate Tern","Charrán Rosado","",NA,NA
"","","Thalasseus sandvicensis","Sandwich Tern","Pagaza Puntiamarilla","","Sandwich Tern",NA
"","","Thalasseus elegans","Elegant Tern","Pagaza Elegante","","Elegant Tern",NA
"","","Thalasseus maximus","Royal Tern","Pagaza Real","","Royal Tern",NA
"Eurypygiformes","","","","","",NA,NA
"","Eurypygidae","","","","",NA,NA
"","","Eurypyga helias","Sunbittern","Garza del Sol (Sol y Luna, Ave Canasta)","","Sunbittern",NA
"Phaethontiformes","","","","","",NA,NA
