Familia,Taxa,Ingles,Español,Species
,Sittasomus griseicapillus,Olivaceous Woodcreeper,Trepadorcito Aceitunado,Olivaceous Woodcreeper
,Dendrocincla homochroa,Ruddy Woodcreeper,Trepador Rojizo,Ruddy Woodcreeper
,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Trepador Barreteado,Northern Barred-Woodcreeper
,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Trepador Piquiclaro,Ivory-billed Woodcreeper
,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,Trepador Cabecirrayado,Streak-headed Woodcreeper
,Xenops minutus,Plain Xenops,Xenops Común,Plain Xenops
Pipridae,,,,
,Chiroxiphia linearis,Long-tailed Manakin,Saltarín Toledo (Toledo),Long-tailed Manakin
Tityridae,,,,
,Tityra semifasciata,Masked Tityra,"Tityra Carirroja (Pájaro Chancho, Calandria)",Masked Tityra
,Pachyramphus cinnamomeus,Cinnamon Becard,Cabezón Canelo,Cinnamon Becard
,Pachyramphus polychopterus,White-winged Becard,Cabezón Aliblanco,White-winged Becard
,Pachyramphus aglaiae,Rose-throated Becard,Cabezón Plomizo,Rose-throated Becard
Oxyruncidae,,,,
,Onychorhynchus coronatus,Tropical Royal Flycatcher,Mosquero Real,Tropical Royal Flycatcher
Tyrannidae,,,,
,Platyrinchus cancrominus,Stub-tailed Spadebill,Piquichato Norteño,Stub-tailed Spadebill
,Mionectes oleagineus,Ochre-bellied Flycatcher,Mosquerito Aceitunado (Tontillo),Ochre-bellied Flycatcher
,Oncostoma cinereigulare,Northern Bentbill,Piquitorcido Norteño (Brujita),Northern Bentbill
,Poecilotriccus sylvia,Slate-headed Tody-Flycatcher,Espatulilla Cabecigrís,Slate-headed Tody-Flycatcher
,Todirostrum cinereum,Common Tody-Flycatcher,"Espatulilla Común (Espatulilla, Mantequillilla)",Common Tody-Flycatcher
,Tolmomyias sulphurescens,Yellow-olive Flatbill,Piquiplano Azufrado,Yellow-olive Flatbill
,Camptostoma imberbe,Northern Beardless-Tyrannulet,Mosquerito Chillón,Northern Beardless-Tyrannulet
,Myiopagis viridicata,Greenish Elaenia,Elainia Verdosa (Tontillo),Greenish Elaenia
,Elaenia flavogaster,Yellow-bellied Elaenia,"Elainia Copetona (Tontillo, Bobillo, Copetoncillo)",Yellow-bellied Elaenia
,Zimmerius parvus,Mistletoe Tyrannulet,Mosquerito Cejigrís,Mistletoe Tyrannulet
,Contopus cooperi,Olive-sided Flycatcher,Pibí Boreal (Tontillo),Olive-sided Flycatcher
,Contopus lugubris,Dark Pewee,Pibí Sombrío (Tontillo),Dark Pewee
,Contopus sordidulus,Western Wood-Pewee,"Pibí Occidental (Tontillo, Piguí)",Western Wood-Pewee
,Contopus bogotensis,Northern Tropical Pewee,"Pibí Tropical (Tontillo, Piguí)",Northern Tropical Pewee
,Contopus virens,Eastern Wood-Pewee,"Pibí Oriental (Tontillo, Piguí)",Eastern Wood-Pewee
,Empidonax flaviventris,Yellow-bellied Flycatcher,Mosquerito Vientriamarillo,Yellow-bellied Flycatcher
,Empidonax virescens,Acadian Flycatcher,Mosquerito Verdoso,Acadian Flycatcher
,Empidonax alnorum,Alder Flycatcher,Mosquerito de Charral,Alder Flycatcher
,Empidonax traillii,Willow Flycatcher,Mosquerito de Traill,Willow Flycatcher
,Attila spadiceus,Bright-rumped Attila,Atila Lomiamarilla,Bright-rumped Attila
,Rhytipterna holerythra,Rufous Mourner,Plañidera Rojiza,Rufous Mourner
,Myiarchus tuberculifer,Dusky-capped Flycatcher,Copetón Crestioscuro (Tontillo),Dusky-capped Flycatcher
,Myiarchus nuttingi,Nutting's Flycatcher,Copetón de Nutting (Tontillo),Nutting's Flycatcher
,Myiarchus crinitus,Great Crested Flycatcher,Copetón Viajero (Tontillo),Great Crested Flycatcher
,Myiarchus tyrannulus,Brown-crested Flycatcher,Copetón Crestipardo (Tontillo),Brown-crested Flycatcher
,Pitangus sulphuratus,Great Kiskadee,"Bienteveo Grande (Cristo Fue, Pecho Amarillo)",Great Kiskadee
,Megarynchus pitangua,Boat-billed Flycatcher,Mosquerón Picudo (Pecho Amarillo),Boat-billed Flycatcher
,Myiozetetes similis,Social Flycatcher,Mosquero Cejiblanco (Pecho Amarillo),Social Flycatcher
,Myiodynastes maculatus,Streaked Flycatcher,Mosquero Listado (Pecho Amarillo),Streaked Flycatcher
,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Mosquero Vientriazufrado (Pecho Amarillo),Sulphur-bellied Flycatcher
,Legatus leucophaius,Piratic Flycatcher,Mosquero Pirata (Pecho Amarillo),Piratic Flycatcher
,Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical (Pecho Amarillo),Tropical Kingbird
,Tyrannus verticalis,Western Kingbird,Tirano Occidental (Pecho Amarillo),Western Kingbird
,Tyrannus forficatus,Scissor-tailed Flycatcher,Tijereta Rosada (Tijerilla),Scissor-tailed Flycatcher
Vireonidae,,,,
,Cyclarhis gujanensis,Rufous-browed Peppershrike,Vireón Cejirrufo,Rufous-browed Peppershrike
,Pachysylvia decurtata,Lesser Greenlet,Verdillo Menudo,Lesser Greenlet
,Vireo pallens,Mangrove Vireo,Vireo de Manglar,Mangrove Vireo
,Vireo flavifrons,Yellow-throated Vireo,Vireo Pechiamarillo,Yellow-throated Vireo
,Vireo philadelphicus,Philadelphia Vireo,Vireo Amarillento,Philadelphia Vireo
,Vireo olivaceus,Red-eyed Vireo,Vireo Ojirrojo (Chiguisa),Red-eyed Vireo
,Vireo flavoviridis,Yellow-green Vireo,"Vireo Cabecigrís (Chiguisa, Chuesa, Cazadora, Fraile)",Yellow-green Vireo
Corvidae,,,,
,Calocitta formosa,White-throated Magpie-Jay,"Urraca Copetona (Urraca, Piapia Azul)",White-throated Magpie-Jay
Hirundinidae,,,,
,Riparia riparia,Bank Swallow,Golondrina Ribereña,Bank Swallow
,Tachycineta albilinea,Mangrove Swallow,Golondrina Lomiblanca,Mangrove Swallow
,Progne chalybea,Gray-breasted Martin,Martín Pechigrís,Gray-breasted Martin
,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Golondrina Alirrasposa Norteña,Northern Rough-winged Swallow
,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Golondrina Alirrasposa Sureña,Southern Rough-winged Swallow
,Hirundo rustica,Barn Swallow,Golondrina Tijereta,Barn Swallow
Polioptilidae,,,,
,Ramphocaenus melanurus,Long-billed Gnatwren,Soterillo Picudo,Long-billed Gnatwren
,Polioptila bilineata,White-browed Gnatcatcher,"Perlita Frentiblanca (Espatulilla, Cazadora)",White-browed Gnatcatcher
,Polioptila albiloris,White-lored Gnatcatcher,"Perlita Cabecinegra (Espatulilla, Cazadora)",White-lored Gnatcatcher
Troglodytidae,,,,
,Troglodytes aedon,House Wren,"Soterrey Cucarachero (Soterrey, Soterré)",House Wren
,Troglodytes aedon,House Wren,"Soterrey Cucarachero (Soterrey, Soterré)",House Wren
,Campylorhynchus rufinucha,Rufous-naped Wren,"Soterrey Nuquirrufo (Chico Piojo, Botijón, Salta Piñuela)",Rufous-naped Wren
,Thryophilus pleurostictus,Banded Wren,Soterrey de Costillas Barreteadas,Banded Wren
,Thryophilus rufalbus,Rufous-and-white Wren,Soterrey Rufo y Blanco,Rufous-and-white Wren
,Cantorchilus modestus,Cabanis’s Wren,Soterrey Chinchirigüí (Huevos Blancos),Cabanis’s Wren
Turdidae,,,,
,Catharus aurantiirostris,Orange-billed Nightingale-Thrush,"Zorzal Piquianaranjado (Jilguerillo de Charral, Inglesito)",Orange-billed Nightingale-Thrush
,Catharus ustulatus,Swainson's Thrush,Zorzal de Swainson (Conchita),Swainson's Thrush
,Hylocichla mustelina,Wood Thrush,Zorzal del Bosque,Wood Thrush
,Turdus grayi,Clay-colored Thrush,Mirlo Pardo (Yigüirro),Clay-colored Thrush
Fringillidae,,,,
,Euphonia affinis,Scrub Euphonia,"Eufonia Gargantinegra (Finito, Agüío, Monjita Fina)",Scrub Euphonia
,Euphonia luteicapilla,Yellow-crowned Euphonia,"Eufonia Coroniamarilla (Monjita, Agüío)",Yellow-crowned Euphonia
,Euphonia hirundinacea,Yellow-throated Euphonia,"Eufonia Gorgiamarilla (Agüío, Caciquita)",Yellow-throated Euphonia
Passerellidae,,,,
,Peucaea ruficauda,Stripe-headed Sparrow,"Sabanero Cabecilistado (Pájaro Chicle, Albarda Nueva, Ratoncillo)",Stripe-headed Sparrow
,Peucaea botterii,Botteri's Sparrow,Sabanero Pechianteado,Botteri's Sparrow
,Arremonops rufivirgatus,Olive Sparrow,Pinzón Aceitunado (Timbón),Olive Sparrow
Icteridae,,,,
,Sturnella magna,Eastern Meadowlark,"Zacatero Común (Zacatera, Carmelo)",Eastern Meadowlark
,Leistes militaris,Red-breasted Meadowlark,Tordo Pechirrojo,Red-breasted Meadowlark
,Psarocolius montezuma,Montezuma Oropendola,Oropéndola de Moctezuma (Oropéndola),Montezuma Oropendola
,Cacicus uropygialis,Scarlet-rumped Cacique,"Cacique Lomiescarlata (Sargento, Plío)",Scarlet-rumped Cacique
,Icterus spurius,Orchard Oriole,Bolsero Castaño (Cacique Ahumado),Orchard Oriole
,Icterus pustulatus,Streak-backed Oriole,"Bolsero Dorsilistado (Chilchote, Chilto, Chorchín, Chorcha)",Streak-backed Oriole
,Icterus bullockii,Bullock's Oriole,Bolsero de Bullock,Bullock's Oriole
,Icterus pectoralis,Spot-breasted Oriole,"Bolsero Pechimanchado (Balsero, Chiltote)",Spot-breasted Oriole
